"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Census Tract 510, Horry County, South Carolina","45051051000",51.2,25.9,55.6,25.6,51.8
"Census Tract 202, Horry County, South Carolina","45051020200",45,41.2,53.1,54.3,33
"Census Tract 405, Horry County, South Carolina","45051040500",54.9,21.8,59.7,36.6,52
"Census Tract 509, Horry County, South Carolina","45051050900",34.9,28.9,46.7,43.4,32.7
"Census Tract 403, Horry County, South Carolina","45051040300",60.7,50.3,64.6,59.1,50.2
"Census Tract 502, Horry County, South Carolina","45051050200",62,40.4,62.9,65.4,74.2
"Census Tract 506, Horry County, South Carolina","45051050600",34.8,23.7,38.1,33.9,37.9
"Census Tract 106.03, Dorchester County, South Carolina","45035010603",36.2,23.3,48.3,32.8,36.9
"Census Tract 106.05, Dorchester County, South Carolina","45035010605",37.3,23.9,50.7,50.7,57.1
"Census Tract 105.04, Dorchester County, South Carolina","45035010504",37.5,33.8,39.3,35.1,55.9
"Census Tract 304.02, Oconee County, South Carolina","45073030402",43.9,41,50.8,39.2,37.4
"Census Tract 309.01, Oconee County, South Carolina","45073030901",53.4,41.4,59.9,57.6,64.5
"Census Tract 9709.05, Kershaw County, South Carolina","45055970905",45.4,35.4,54.6,61.2,50.9
"Census Tract 9709.03, Kershaw County, South Carolina","45055970903",39.5,31.4,49,34.8,42.8
"Census Tract 9709.04, Kershaw County, South Carolina","45055970904",35.7,27.2,43.2,29.2,47.1
"Census Tract 2.01, Sumter County, South Carolina","45085000201",38,29.2,42.2,30.9,51.1
"Census Tract 17.01, Sumter County, South Carolina","45085001701",44.6,40.7,48,38.1,48.1
"Census Tract 3, Sumter County, South Carolina","45085000300",25.2,20.6,25.6,19.7,37.8
"Census Tract 210.17, Lexington County, South Carolina","45063021017",38.6,38,42.6,29.5,36.4
"Census Tract 210.09, Lexington County, South Carolina","45063021009",38.4,28.1,44.7,31.5,46.5
"Census Tract 210.14, Lexington County, South Carolina","45063021014",35.3,25.8,40.4,42.5,38.6
"Census Tract 202.02, Lexington County, South Carolina","45063020202",39.3,32.4,46.5,45.8,58.5
"Census Tract 210.18, Lexington County, South Carolina","45063021018",45.1,39.4,45.7,18.9,47.6
"Census Tract 206.04, Lexington County, South Carolina","45063020604",47.4,43.9,51,54.7,55
"Census Tract 205.06, Lexington County, South Carolina","45063020506",39.5,35.9,48.2,29.7,34.3
"Census Tract 205.09, Lexington County, South Carolina","45063020509",37.9,35.6,42.9,10.9,29.9
"Census Tract 205.10, Lexington County, South Carolina","45063020510",42.3,34.1,49.1,33.4,48.2
"Census Tract 206.02, Lexington County, South Carolina","45063020602",40.3,37.9,46.4,54.1,38.4
"Census Tract 201, Lexington County, South Carolina","45063020100",32.5,30.8,37.5,18.7,39.1
"Census Tract 205.05, Lexington County, South Carolina","45063020505",41.9,41.2,50.8,54.6,35.7
"Census Tract 205.07, Lexington County, South Carolina","45063020507",39.8,34.5,45.7,56.7,32.1
"Census Tract 206.05, Lexington County, South Carolina","45063020605",35.5,33.8,44.7,50.1,36
"Census Tract 211.06, Lexington County, South Carolina","45063021106",50.2,40.9,56.9,66.1,60
"Census Tract 25.03, Greenville County, South Carolina","45045002503",36.9,31.3,36.6,43.2,44.8
"Census Tract 26.04, Greenville County, South Carolina","45045002604",35.9,25.8,48.9,18.1,51.4
"Census Tract 26.09, Greenville County, South Carolina","45045002609",40.1,28.9,44.4,53.1,50.6
"Census Tract 27.02, Greenville County, South Carolina","45045002702",39.5,27.7,50.7,59.2,54.4
"Census Tract 28.08, Greenville County, South Carolina","45045002808",38.2,31.2,52.6,37.9,33
"Census Tract 17, Greenville County, South Carolina","45045001700",35.6,26.3,50.3,51,34.4
"Census Tract 18.03, Greenville County, South Carolina","45045001803",41.8,33.5,49.3,52.4,39.9
"Census Tract 23.04, Greenville County, South Carolina","45045002304",37,43,45.8,31.1,26.9
"Census Tract 28.05, Greenville County, South Carolina","45045002805",42.2,35.6,50.6,39.5,41.1
"Census Tract 37.04, Greenville County, South Carolina","45045003704",32,25.4,33.7,38.5,38.4
"Census Tract 38.02, Greenville County, South Carolina","45045003802",35.7,30.1,43.5,41.8,58.4
"Census Tract 11.01, Greenville County, South Carolina","45045001101",38.5,35.5,38.3,52.8,41.8
"Census Tract 13.02, Greenville County, South Carolina","45045001302",35.7,36.5,30.7,27.9,51.5
"Census Tract 14, Greenville County, South Carolina","45045001400",33.2,29.3,39.6,49.5,31.7
"Census Tract 18.05, Greenville County, South Carolina","45045001805",49.3,44.5,57.9,59.2,46.2
"Census Tract 21.05, Greenville County, South Carolina","45045002105",36.9,37,36,47.8,38.5
"Census Tract 9704, Greenwood County, South Carolina","45047970400",40.9,35,51.5,52.3,44.4
"Census Tract 516.01, Horry County, South Carolina","45051051601",42.3,17.7,51.8,45.3,35.8
"Census Tract 705, Horry County, South Carolina","45051070500",41.9,39.2,51.5,41.2,70
"Census Tract 203, Horry County, South Carolina","45051020300",39.8,35.4,47.1,30.6,30
"Census Tract 9705, Kershaw County, South Carolina","45055970500",48.6,41.3,56.7,57.8,43.1
"Census Tract 9707, Kershaw County, South Carolina","45055970700",45.3,38.6,53.3,45.3,56.3
"Census Tract 109, Orangeburg County, South Carolina","45075010900",40.6,39.8,41.6,16.4,41.5
"Census Tract 102, Orangeburg County, South Carolina","45075010200",36.6,36.8,37.4,33.5,29.4
"Census Tract 114, Orangeburg County, South Carolina","45075011400",35.5,30.1,51.7,66.6,24.3
"Census Tract 209, Spartanburg County, South Carolina","45083020900",39.5,46.7,39,10.2,32.8
"Census Tract 206.01, Spartanburg County, South Carolina","45083020601",32.5,31.8,41,29.4,36.7
"Census Tract 220.03, Spartanburg County, South Carolina","45083022003",43.2,34.8,58.1,23.7,41.5
"Census Tract 206.03, Spartanburg County, South Carolina","45083020603",47.3,47.6,40.9,5.4,51.2
"Census Tract 206.02, Spartanburg County, South Carolina","45083020602",34.2,28.5,38.9,57.4,34.6
"Census Tract 213.02, Spartanburg County, South Carolina","45083021302",46.1,36.3,51,14.7,83.2
"Census Tract 212, Spartanburg County, South Carolina","45083021200",33.9,27,39.4,42.5,52.1
"Census Tract 224.01, Spartanburg County, South Carolina","45083022401",44.5,40.3,52.3,24.9,53.2
"Census Tract 225, Spartanburg County, South Carolina","45083022500",46.5,40.7,52.8,34.5,54.8
"Census Tract 211, Spartanburg County, South Carolina","45083021100",43.9,42.6,49.1,44.1,36.1
"Census Tract 218.02, Spartanburg County, South Carolina","45083021802",22.5,21.2,22.8,28.5,35
"Census Tract 219.02, Spartanburg County, South Carolina","45083021902",37.5,29.1,49.5,45.4,47.4
"Census Tract 231.02, Spartanburg County, South Carolina","45083023102",32.4,32.6,30.7,27,38.2
"Census Tract 226, Spartanburg County, South Carolina","45083022600",46.5,37.1,52.5,61.6,45
"Census Tract 237, Spartanburg County, South Carolina","45083023700",33.5,31.8,38,26.7,46.2
"Census Tract 9502, Abbeville County, South Carolina","45001950200",36.9,38.9,33.9,20.9,21.2
"Census Tract 107, Beaufort County, South Carolina","45013010700",63.4,25.3,64.5,47.8,69.9
"Census Tract 10, Beaufort County, South Carolina","45013001000",20.3,4.7,20.3,20.1,21.6
"Census Tract 110, Beaufort County, South Carolina","45013011000",38.8,23.7,50.2,24.9,32.1
"Census Tract 101, Beaufort County, South Carolina","45013010100",68.9,64.8,69.2,76,74
"Census Tract 102, Beaufort County, South Carolina","45013010200",60,11.1,67.9,54.5,51.9
"Census Tract 106, Beaufort County, South Carolina","45013010600",66.4,22.7,67.5,78.8,69.6
"Census Tract 104, Beaufort County, South Carolina","45013010400",50.5,15.9,57.3,8,50.6
"Census Tract 7, Beaufort County, South Carolina","45013000700",45.7,33.8,53.3,61,60.7
"Census Tract 3, Beaufort County, South Carolina","45013000300",22.7,11.7,23.5,23.6,28.8
"Census Tract 105, Beaufort County, South Carolina","45013010500",40.5,13.7,51.7,51.6,29.7
